[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T14:51:27.850753-06:00'], ['food_idx', 50662]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T14:52:27.088461-06:00'], ['food_idx', 50662]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T14:54:00.253494-06:00'], ['food_idx', 50662]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T14:54:59.131274-06:00'], ['food_idx', 50662]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T14:58:17.635341-06:00'], ['food_idx', 50662]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 78128]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 116262]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 154307]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 111645]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 156799]],
[['timestamp', '2024-05-12T15:50:19.487354-06:00'], ['food_idx', 50662]],
